,crop,precision,recall,f1-score,support
2101,Rice,0.3250662868919842,0.5676629271794111,0.4134021314321825,296743.0
2204,Cassava,0.29985087659056797,0.5300576029730567,0.38302593794086265,807250.0
2205,Pineapple,0.36601667360063866,0.6067501080671989,0.4565958880314977,714833.0
2302,Rubber,0.9707398113179307,0.6790753959719015,0.7991264947051813,12320950.0
2303,Oil palm,0.18910597174303986,0.331133530093512,0.24073269240024137,490953.0
2403,Durian,0.18192790827242977,0.5491989100201262,0.27331676646411757,353768.0
2404,Rambutan,0.012299549313489153,0.3675802662490211,0.023802641920843793,6385.0
2405,Coconut,0.020808860547071657,0.03556830405163141,0.026256583997247295,13945.0
2407,Mango,0.06104424971821256,0.2444774511088783,0.09769481209067131,68673.0
2413,Longan,0.04280291014765623,0.42484257566524475,0.0777704442564584,19692.0
2416,Jackfruit,0.06920308993963692,0.35752105054463185,0.11596044877177852,42873.0
2419,Mangosteen,0.03603659632101939,0.2699974113383381,0.06358631705369172,19315.0
2420,Langsat,0.03436195059806073,0.5268583830710798,0.06451612903225806,1843.0
micro avg,,0.6643381522797177,0.646773488784852,0.6554381656377568,15157223.0
macro avg,,0.20071267192321063,0.4223633781795409,0.2335220990843871,15157223.0
weighted avg,,0.8396607779441873,0.6467734887848519,0.7147889595897096,15157223.0
