population,class,precision,recall,f1,support
all,Rice,0.3251,0.5677,0.4134,296743
all,Cassava,0.2999,0.5301,0.383,807250
all,Pineapple,0.366,0.6068,0.4566,714833
all,Para rubber,0.9707,0.6791,0.7991,12320950
all,Oil palm,0.1891,0.3311,0.2407,490953
all,Durian,0.1819,0.5492,0.2733,353768
all,Rambutan,0.0123,0.3676,0.0238,6385
all,Coconut,0.0208,0.0356,0.0263,13945
all,Mango,0.061,0.2445,0.0977,68673
all,Longan,0.0428,0.4248,0.0778,19692
all,Jackfruit,0.0692,0.3575,0.116,42873
all,Mangosteen,0.036,0.27,0.0636,19315
all,Langsat,0.0344,0.5269,0.0645,1843
all,Reservoir,0.7423,0.8789,0.8048,902857
all,Others,0.7565,0.778,0.7671,8263689
held_out,Rice,0.1778,0.4466,0.2544,143736
held_out,Cassava,0.2453,0.5026,0.3297,560177
held_out,Pineapple,0.2949,0.5828,0.3916,475086
held_out,Para rubber,0.9771,0.6766,0.7995,11960536
held_out,Oil palm,0.1041,0.2506,0.1471,304495
held_out,Durian,0.0672,0.4438,0.1167,125770
held_out,Rambutan,0.0008,0.0644,0.0015,1895
held_out,Coconut,0.002,0.0049,0.0029,8702
held_out,Mango,0.0042,0.031,0.0074,29686
held_out,Longan,0.0029,0.1116,0.0057,3986
held_out,Jackfruit,0.0049,0.1165,0.0095,7337
held_out,Mangosteen,0.0027,0.054,0.0051,5570
held_out,Langsat,0.0018,0.0775,0.0036,529
held_out,Reservoir,0.6466,0.9014,0.753,477857
held_out,Others,0.7471,0.7776,0.762,7073689
matched,Rice,0.577,0.4457,0.5029,15656
matched,Cassava,0.5615,0.5019,0.5301,38757
matched,Pineapple,0.6545,0.583,0.6167,38656
matched,Para rubber,0.7978,0.6733,0.7303,38555
matched,Oil palm,0.7386,0.247,0.3702,38990
matched,Durian,0.6244,0.4427,0.518,39312
matched,Rambutan,0.0124,0.0602,0.0205,781
matched,Coconut,0.0833,0.0064,0.0119,2508
matched,Mango,0.0346,0.0317,0.0331,5615
matched,Longan,0.0549,0.1147,0.0743,2790
matched,Jackfruit,0.0962,0.1175,0.1058,4519
matched,Mangosteen,0.039,0.0501,0.0439,2657
matched,Langsat,0.0298,0.0918,0.0449,196
matched,Reservoir,0.9174,0.9016,0.9095,37425
matched,Others,0.3046,0.7148,0.4272,37531
held_out_forest_split,Forest,0.5934,0.9134,0.7194,2026964
