LU_CODE,count,F0_mean,F0_median,F1_mean,F1_median,F2_mean,F2_median,F3_mean,F3_median,F4_mean,F4_median,F5_mean,F5_median,F6_mean,F6_median,F7_mean,F7_median,F8_mean,F8_median,F9_mean,F9_median,F10_mean,F10_median,F11_mean,F11_median,F12_mean,F12_median,F13_mean,F13_median,F14_mean,F14_median,F15_mean,F15_median,F16_mean,F16_median,F17_mean,F17_median,F18_mean,F18_median,F19_mean,F19_median,F20_mean,F20_median,F21_mean,F21_median,F22_mean,F22_median,F23_mean,F23_median,F24_mean,F24_median,F25_mean,F25_median,F26_mean,F26_median,F27_mean,F27_median,F28_mean,F28_median,F29_mean,F29_median,F30_mean,F30_median,F31_mean,F31_median,F32_mean,F32_median,F33_mean,F33_median,F34_mean,F34_median,F35_mean,F35_median,F36_mean,F36_median,F37_mean,F37_median,F38_mean,F38_median,F39_mean,F39_median
2101,200818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2204,673785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2205,624700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2302,10857902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2303,371332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2403,294580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2404,4142,,,,,,,-0.1566944718360901,-0.17377860844135284,-0.13426168262958527,-0.15280786156654358,,,,,,,0.5036218166351318,0.5179486274719238,0.46527642011642456,0.4785090684890747,,,,,,,0.4531097412109375,0.46296411752700806,0.41924378275871277,0.4276736378669739,,,,,,,-0.19753995537757874,-0.21556344628334045,-0.17512688040733337,-0.1937353014945984,,,,,,,0.7226797938346863,0.7576410174369812,0.7068763971328735,0.7415689826011658,,,,,,,-0.6686413288116455,-0.6877225637435913,-0.6595143675804138,-0.6789935827255249,,,,,,,0.6879938840866089,0.6453251838684082,0.7230379581451416,0.675410270690918,,,,,,,0.305789589881897,0.3130366802215576,0.31278666853904724,0.31633007526397705
2405,7514,,,,,,,,,-0.08080238103866577,-0.09073495864868164,,,,,,,,,0.41651514172554016,0.41821056604385376,,,,,,,,,0.35638290643692017,0.3553243577480316,,,,,,,,,-0.12407781928777695,-0.13721731305122375,,,,,,,,,0.6030607223510742,0.625057578086853,,,,,,,,,-0.5771755576133728,-0.5847849249839783,,,,,,,,,0.8047304153442383,0.7586758732795715,,,,,,,,,0.2511717975139618,0.25606048107147217
2407,31318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2413,16211,,,,,,,-0.19021566212177277,-0.21677181124687195,,,,,,,,,0.5199070572853088,0.5380661487579346,,,,,,,,,0.4681718945503235,0.4841645359992981,,,,,,,,,-0.22989454865455627,-0.25867030024528503,,,,,,,,,0.7498049736022949,0.7845395803451538,,,,,,,,,-0.6895654201507568,-0.7076572179794312,,,,,,,,,0.6466999650001526,0.5889759659767151,,,,,,,,,0.3227786719799042,0.33333197236061096,,
2416,38047,,,,,,,-0.11900859326124191,-0.12452489137649536,,,,,,,,,0.46996715664863586,0.48040342330932617,,,,,,,,,0.42339393496513367,0.4306272566318512,,,,,,,,,-0.15810197591781616,-0.16519470512866974,,,,,,,,,0.7013764381408691,0.7259865999221802,,,,,,,,,-0.6640742421150208,-0.6776333451271057,,,,,,,,,0.753037691116333,0.7164485454559326,,,,,,,,,0.2922573387622833,0.2914642095565796,,
2419,12792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2420,1243,,,,,-0.19791382551193237,-0.21672846376895905,-0.19075259566307068,-0.21314319968223572,-0.17063282430171967,-0.19138243794441223,,,,,0.5592657923698425,0.581342339515686,0.5258430242538452,0.5410483479499817,0.5109050869941711,0.5285196304321289,,,,,0.4880199134349823,0.5054086446762085,0.47716206312179565,0.49150532484054565,0.46399950981140137,0.47955307364463806,,,,,-0.23800575733184814,-0.2631574273109436,-0.22730454802513123,-0.2473333477973938,-0.20662280917167664,-0.22632835805416107,,,,,0.7378429174423218,0.7682251334190369,0.7661606073379517,0.8068837523460388,0.754800021648407,0.789417028427124,,,,,-0.6697194576263428,-0.6931228041648865,-0.7047670483589172,-0.7294248938560486,-0.70081627368927,-0.7234756946563721,,,,,0.628431499004364,0.5833316445350647,0.643273651599884,0.6034179329872131,0.6738879680633545,0.630882203578949,,,,,0.3266731798648834,0.334181010723114,0.3157899081707001,0.32572853565216064,0.3111492097377777,0.31736406683921814
