alpha2,alpha3,cal_macro_f1,cal_alive,tune_macro_f1,tune_alive
0.0,0.0,0.2612,8,0.2126,7
0.0,0.1,0.262,8,0.2139,7
0.0,0.2,0.2629,10,0.2155,7
0.0,0.3,0.2632,10,0.2169,8
0.0,0.4,0.2642,10,0.2181,10
0.0,0.5,0.2648,10,0.2196,10
0.0,0.6,0.2645,10,0.2199,10
0.0,0.7,0.2622,9,0.2191,10
0.0,0.8,0.2557,9,0.2158,10
0.0,0.9,0.2438,9,0.205,10
0.0,1.0,0.2231,9,0.1867,10
0.0,1.1,0.2014,9,0.171,10
0.0,1.2,0.1813,8,0.1547,8
0.1,0.0,0.2641,8,0.2163,7
0.1,0.1,0.2654,9,0.2178,7
0.1,0.2,0.2664,10,0.2194,7
0.1,0.3,0.2672,10,0.2213,10
0.1,0.4,0.2686,10,0.2225,10
0.1,0.5,0.2698,10,0.2242,10
0.1,0.6,0.2702,10,0.2243,10
0.1,0.7,0.2676,10,0.2235,10
0.1,0.8,0.2611,10,0.2199,10
0.1,0.9,0.2485,10,0.2084,10
0.1,1.0,0.2267,10,0.1887,11
0.1,1.1,0.2039,9,0.1721,10
0.1,1.2,0.1837,8,0.1555,10
0.2,0.0,0.265,8,0.2182,7
0.2,0.1,0.2667,9,0.2203,7
0.2,0.2,0.268,10,0.2218,8
0.2,0.3,0.2689,10,0.2239,10
0.2,0.4,0.2706,10,0.2253,10
0.2,0.5,0.2721,10,0.2272,10
0.2,0.6,0.2729,10,0.2272,10
0.2,0.7,0.2704,10,0.2266,10
0.2,0.8,0.2636,10,0.2224,10
0.2,0.9,0.2511,10,0.2105,10
0.2,1.0,0.2289,10,0.1894,11
0.2,1.1,0.2057,9,0.1721,11
0.2,1.2,0.1852,8,0.1553,10
0.3,0.0,0.2643,8,0.2182,7
0.3,0.1,0.2661,9,0.2204,7
0.3,0.2,0.2675,9,0.2219,8
0.3,0.3,0.2686,9,0.2245,10
0.3,0.4,0.2703,10,0.226,10
0.3,0.5,0.272,10,0.2279,10
0.3,0.6,0.2729,9,0.2279,10
0.3,0.7,0.2704,10,0.2276,10
0.3,0.8,0.2637,10,0.2233,10
0.3,0.9,0.252,10,0.2111,10
0.3,1.0,0.23,10,0.1894,11
0.3,1.1,0.2066,10,0.1716,11
0.3,1.2,0.186,8,0.1545,9
0.4,0.0,0.2624,9,0.2167,7
0.4,0.1,0.2643,9,0.2195,8
0.4,0.2,0.2657,9,0.2212,8
0.4,0.3,0.267,9,0.224,10
0.4,0.4,0.2688,9,0.2251,10
0.4,0.5,0.2705,9,0.2273,10
0.4,0.6,0.2712,9,0.2269,10
0.4,0.7,0.2691,10,0.2264,10
0.4,0.8,0.2628,10,0.2221,10
0.4,0.9,0.2518,10,0.2102,10
0.4,1.0,0.2304,10,0.1883,10
0.4,1.1,0.2069,10,0.1704,11
0.4,1.2,0.1864,9,0.1533,9
0.5,0.0,0.2594,9,0.2142,7
0.5,0.1,0.2611,9,0.2172,8
0.5,0.2,0.2625,9,0.2192,8
0.5,0.3,0.264,9,0.2219,10
0.5,0.4,0.2657,9,0.2229,10
0.5,0.5,0.2674,9,0.2247,10
0.5,0.6,0.2682,10,0.2245,10
0.5,0.7,0.2662,10,0.2239,10
0.5,0.8,0.2605,10,0.2198,10
0.5,0.9,0.2507,10,0.2084,10
