alpha2,alpha3,cal_macro_f1,cal_alive,tune_macro_f1,tune_alive
0.0,0.0,0.2588,8,0.2145,7
0.0,0.1,0.2584,8,0.2163,7
0.0,0.2,0.2584,10,0.2178,8
0.0,0.3,0.2578,10,0.2199,9
0.0,0.4,0.2585,10,0.2216,10
0.0,0.5,0.2579,10,0.2227,10
0.0,0.6,0.2579,10,0.2222,10
0.0,0.7,0.256,11,0.2205,10
0.0,0.8,0.2505,10,0.2166,10
0.0,0.9,0.2396,11,0.2065,10
0.0,1.0,0.2203,11,0.1893,10
0.0,1.1,0.1998,10,0.1744,10
0.0,1.2,0.1803,8,0.1583,9
0.1,0.0,0.2633,8,0.2194,7
0.1,0.1,0.2632,9,0.2214,8
0.1,0.2,0.2634,10,0.2233,8
0.1,0.3,0.2631,10,0.2258,10
0.1,0.4,0.2641,10,0.2272,10
0.1,0.5,0.264,10,0.2283,10
0.1,0.6,0.2643,10,0.2277,10
0.1,0.7,0.2622,11,0.226,10
0.1,0.8,0.2562,11,0.2216,10
0.1,0.9,0.2446,10,0.2103,10
0.1,1.0,0.2242,11,0.1913,10
0.1,1.1,0.2028,9,0.1756,10
0.1,1.2,0.1832,8,0.1595,10
0.2,0.0,0.2658,8,0.2219,7
0.2,0.1,0.2662,9,0.2245,8
0.2,0.2,0.2667,10,0.2271,8
0.2,0.3,0.2668,10,0.23,10
0.2,0.4,0.2681,10,0.231,10
0.2,0.5,0.2684,10,0.2323,10
0.2,0.6,0.2687,10,0.2316,10
0.2,0.7,0.2664,11,0.2296,10
0.2,0.8,0.26,10,0.2249,10
0.2,0.9,0.2484,10,0.2129,10
0.2,1.0,0.2272,10,0.1924,11
0.2,1.1,0.2052,10,0.1761,10
0.2,1.2,0.1854,8,0.1599,10
0.3,0.0,0.2667,9,0.2231,7
0.3,0.1,0.2673,9,0.2258,8
0.3,0.2,0.2679,10,0.2288,8
0.3,0.3,0.2685,10,0.2319,10
0.3,0.4,0.27,10,0.2329,10
0.3,0.5,0.2706,10,0.2343,10
0.3,0.6,0.2708,10,0.2336,10
0.3,0.7,0.2686,11,0.2318,10
0.3,0.8,0.2622,10,0.2268,10
0.3,0.9,0.2511,10,0.2146,10
0.3,1.0,0.2294,10,0.1932,11
0.3,1.1,0.207,10,0.1764,10
0.3,1.2,0.1871,8,0.1601,9
0.4,0.0,0.2661,9,0.2238,8
0.4,0.1,0.2669,9,0.2271,8
0.4,0.2,0.2678,10,0.2303,8
0.4,0.3,0.2686,10,0.2331,10
0.4,0.4,0.2699,10,0.2342,10
0.4,0.5,0.2708,10,0.2353,10
0.4,0.6,0.271,11,0.2344,10
0.4,0.7,0.2687,11,0.2326,10
0.4,0.8,0.2626,10,0.2276,10
0.4,0.9,0.252,10,0.2154,10
0.4,1.0,0.2307,10,0.1935,10
0.4,1.1,0.2081,10,0.1762,11
0.4,1.2,0.1884,9,0.1598,9
0.5,0.0,0.2647,9,0.2227,8
0.5,0.1,0.2656,9,0.2273,8
0.5,0.2,0.2665,10,0.2302,8
0.5,0.3,0.2675,10,0.2325,10
0.5,0.4,0.2689,10,0.2336,10
