alpha2,alpha3,cal_macro_f1,cal_alive,tune_macro_f1,tune_alive
0.0,0.0,0.2623,8,0.2204,8
0.0,0.1,0.262,8,0.2224,8
0.0,0.2,0.2616,9,0.2264,8
0.0,0.3,0.2611,9,0.2287,9
0.0,0.4,0.2616,10,0.2295,9
0.0,0.5,0.2624,10,0.2309,10
0.0,0.6,0.2622,10,0.2299,10
0.0,0.7,0.2607,11,0.2297,10
0.0,0.8,0.2563,10,0.2258,10
0.0,0.9,0.2453,11,0.2143,10
0.0,1.0,0.224,11,0.1943,11
0.0,1.1,0.2017,10,0.1788,10
0.0,1.2,0.1836,8,0.1623,9
0.1,0.0,0.2661,8,0.2253,8
0.1,0.1,0.266,8,0.2278,8
0.1,0.2,0.2658,9,0.2324,8
0.1,0.3,0.2655,9,0.2346,9
0.1,0.4,0.2664,10,0.2357,9
0.1,0.5,0.2676,10,0.2368,10
0.1,0.6,0.2674,10,0.2355,10
0.1,0.7,0.2663,12,0.235,10
0.1,0.8,0.262,11,0.2303,10
0.1,0.9,0.2508,11,0.2179,10
0.1,1.0,0.2282,11,0.196,11
0.1,1.1,0.2047,9,0.1796,10
0.1,1.2,0.1864,8,0.1629,10
0.2,0.0,0.2683,8,0.2285,8
0.2,0.1,0.2686,9,0.2312,8
0.2,0.2,0.2686,9,0.2361,8
0.2,0.3,0.2686,9,0.2383,9
0.2,0.4,0.2698,10,0.2395,10
0.2,0.5,0.2712,10,0.2406,10
0.2,0.6,0.2712,10,0.239,10
0.2,0.7,0.27,12,0.238,10
0.2,0.8,0.2655,11,0.2331,10
0.2,0.9,0.2543,10,0.2204,10
0.2,1.0,0.2313,10,0.1973,11
0.2,1.1,0.2073,9,0.1805,10
0.2,1.2,0.1889,8,0.1636,10
0.3,0.0,0.2692,8,0.2302,8
0.3,0.1,0.27,9,0.2333,8
0.3,0.2,0.2703,9,0.238,8
0.3,0.3,0.2706,9,0.2404,9
0.3,0.4,0.2719,10,0.2417,9
0.3,0.5,0.2732,10,0.2423,10
0.3,0.6,0.2731,10,0.2407,10
0.3,0.7,0.2718,12,0.2393,10
0.3,0.8,0.2675,11,0.2345,10
0.3,0.9,0.2568,10,0.2218,10
0.3,1.0,0.2338,10,0.1978,11
0.3,1.1,0.2095,10,0.1804,10
0.3,1.2,0.1911,8,0.1634,10
0.4,0.0,0.269,8,0.2307,8
0.4,0.1,0.27,9,0.2339,8
0.4,0.2,0.2705,9,0.2385,8
0.4,0.3,0.2711,9,0.2408,9
0.4,0.4,0.2726,10,0.2416,10
0.4,0.5,0.2738,11,0.2416,10
0.4,0.6,0.2737,11,0.24,10
0.4,0.7,0.2725,11,0.2385,10
0.4,0.8,0.2684,10,0.2342,10
0.4,0.9,0.2584,10,0.2221,11
0.4,1.0,0.2357,10,0.1978,11
0.4,1.1,0.2113,10,0.18,10
0.4,1.2,0.1929,8,0.1629,10
0.5,0.0,0.2677,8,0.2304,8
0.5,0.1,0.2689,9,0.2337,8
0.5,0.2,0.2693,9,0.2379,8
0.5,0.3,0.27,9,0.2399,9
0.5,0.4,0.2716,10,0.2403,10
0.5,0.5,0.2732,11,0.2401,10
0.5,0.6,0.2735,11,0.2385,10
0.5,0.7,0.2723,11,0.2368,10
0.5,0.8,0.2684,10,0.2328,10
0.5,0.9,0.259,10,0.2214,10
0.5,1.0,0.2369,10,0.1971,11
0.5,1.1,0.2125,10,0.179,11
0.5,1.2,0.1941,8,0.1619,10
0.6,0.0,0.2651,8,0.2286,8
0.6,0.1,0.2663,9,0.2317,8
0.6,0.2,0.267,9,0.2359,8
0.6,0.3,0.2676,9,0.2373,9
0.6,0.4,0.2693,10,0.2372,10
0.6,0.5,0.2708,11,0.2371,10
0.6,0.6,0.2711,11,0.2354,10
0.6,0.7,0.2703,11,0.2339,10
0.6,0.8,0.2669,10,0.2304,10
0.6,0.9,0.2585,10,0.2198,10
0.6,1.0,0.2373,10,0.1959,11
0.6,1.1,0.2132,10,0.1776,11
0.6,1.2,0.1946,9,0.1606,10
0.7,0.0,0.2622,8,0.2255,8
0.7,0.1,0.2634,9,0.2286,8
0.7,0.2,0.2641,9,0.2328,8
0.7,0.3,0.2649,9,0.2341,9
0.7,0.4,0.2666,10,0.2337,9
0.7,0.5,0.2677,10,0.2333,10
0.7,0.6,0.2681,11,0.2316,10
0.7,0.7,0.2675,10,0.2304,10
0.7,0.8,0.2643,10,0.2274,10
0.7,0.9,0.257,10,0.2176,10
0.7,1.0,0.237,10,0.1942,11
0.7,1.1,0.2131,10,0.1757,11
0.7,1.2,0.1945,9,0.1588,10
0.8,0.0,0.2585,8,0.2221,8
0.8,0.1,0.2601,10,0.2254,8
0.8,0.2,0.2606,10,0.2295,8
0.8,0.3,0.2613,9,0.2305,9
0.8,0.4,0.2627,10,0.2297,9
0.8,0.5,0.2637,10,0.2292,10
0.8,0.6,0.2639,10,0.2273,10
0.8,0.7,0.2635,10,0.2262,10
0.8,0.8,0.261,10,0.2237,10
0.8,0.9,0.2548,10,0.2148,10
0.8,1.0,0.2358,10,0.1921,11
0.8,1.1,0.2122,10,0.1737,11
0.8,1.2,0.1937,9,0.1569,10
0.9,0.0,0.2546,9,0.2182,8
0.9,0.1,0.256,10,0.2213,8
0.9,0.2,0.2565,10,0.2251,8
0.9,0.3,0.257,10,0.2258,9
0.9,0.4,0.2582,9,0.2248,9
0.9,0.5,0.2591,10,0.2243,10
0.9,0.6,0.2593,10,0.2225,10
0.9,0.7,0.2592,10,0.2216,10
0.9,0.8,0.2571,10,0.2196,10
0.9,0.9,0.2519,10,0.2116,10
0.9,1.0,0.234,10,0.1895,11
0.9,1.1,0.2108,10,0.1713,11
0.9,1.2,0.1924,9,0.1547,10
1.0,0.0,0.2491,9,0.2137,8
1.0,0.1,0.2508,10,0.2166,8
1.0,0.2,0.2512,10,0.2201,8
1.0,0.3,0.2517,11,0.2206,9
1.0,0.4,0.2528,11,0.2194,9
1.0,0.5,0.2535,10,0.2189,10
1.0,0.6,0.2536,10,0.2172,10
1.0,0.7,0.2534,10,0.2165,10
1.0,0.8,0.2519,10,0.215,10
1.0,0.9,0.2477,10,0.2079,10
1.0,1.0,0.2311,10,0.1867,11
1.0,1.1,0.2085,10,0.1688,11
1.0,1.2,0.1902,9,0.1524,10
1.1,0.0,0.2431,9,0.2087,8
1.1,0.1,0.2447,10,0.2118,8
1.1,0.2,0.245,10,0.2148,8
1.1,0.3,0.2453,11,0.2148,9
1.1,0.4,0.2464,11,0.2136,9
1.1,0.5,0.247,10,0.213,9
1.1,0.6,0.2471,10,0.2114,9
1.1,0.7,0.2468,10,0.2109,10
1.1,0.8,0.2457,10,0.2099,10
1.1,0.9,0.2426,10,0.2037,10
1.1,1.0,0.2274,10,0.1834,10
1.1,1.1,0.2056,10,0.1659,11
1.1,1.2,0.1876,9,0.1499,9
1.2,0.0,0.2361,9,0.2032,8
1.2,0.1,0.2376,10,0.206,8
1.2,0.2,0.238,10,0.2087,8
1.2,0.3,0.2382,10,0.2083,9
1.2,0.4,0.2391,11,0.2071,9
1.2,0.5,0.2397,10,0.2063,9
1.2,0.6,0.2395,10,0.2049,9
1.2,0.7,0.2392,10,0.2045,9
1.2,0.8,0.2384,10,0.204,10
1.2,0.9,0.2364,10,0.1988,10
1.2,1.0,0.2227,10,0.1794,10
1.2,1.1,0.2018,10,0.1625,11
1.2,1.2,0.1844,9,0.1471,9
