alpha2,alpha3,cal_macro_f1,cal_alive,tune_macro_f1,tune_alive
0.0,0.0,0.2625,8,0.2195,7
0.0,0.1,0.2624,8,0.2218,8
0.0,0.2,0.2621,9,0.2263,8
0.0,0.3,0.2615,10,0.2289,9
0.0,0.4,0.2619,10,0.23,9
0.0,0.5,0.2617,10,0.2301,9
0.0,0.6,0.2607,10,0.2297,10
0.0,0.7,0.2576,11,0.2286,10
0.0,0.8,0.2526,10,0.2236,10
0.0,0.9,0.243,11,0.2126,10
0.0,1.0,0.2232,11,0.1944,11
0.0,1.1,0.2039,10,0.1806,10
0.0,1.2,0.1871,8,0.166,10
0.1,0.0,0.2662,8,0.2239,8
0.1,0.1,0.2662,8,0.2267,8
0.1,0.2,0.2662,9,0.2314,8
0.1,0.3,0.2659,9,0.2342,9
0.1,0.4,0.2667,10,0.2359,9
0.1,0.5,0.2668,10,0.2356,9
0.1,0.6,0.2658,10,0.2353,10
0.1,0.7,0.2628,12,0.2337,10
0.1,0.8,0.2583,11,0.2281,10
0.1,0.9,0.2486,11,0.2162,10
0.1,1.0,0.2273,11,0.1961,11
0.1,1.1,0.207,9,0.1815,10
0.1,1.2,0.1898,8,0.1664,10
0.2,0.0,0.2683,8,0.2266,8
0.2,0.1,0.2687,9,0.2294,8
0.2,0.2,0.269,9,0.2348,8
0.2,0.3,0.2688,9,0.2378,9
0.2,0.4,0.2698,10,0.2394,9
0.2,0.5,0.2702,10,0.2392,9
0.2,0.6,0.2693,10,0.2386,10
0.2,0.7,0.2663,12,0.2366,10
0.2,0.8,0.2619,11,0.2308,10
0.2,0.9,0.2521,10,0.2188,10
0.2,1.0,0.2302,10,0.1974,11
0.2,1.1,0.2094,10,0.1822,10
0.2,1.2,0.1921,8,0.1669,10
0.3,0.0,0.2691,8,0.2277,8
0.3,0.1,0.27,9,0.231,8
0.3,0.2,0.2704,9,0.2368,8
0.3,0.3,0.2705,9,0.2398,9
0.3,0.4,0.2716,10,0.2415,9
0.3,0.5,0.2721,10,0.2408,9
0.3,0.6,0.2711,10,0.24,10
0.3,0.7,0.2681,11,0.2377,10
0.3,0.8,0.2639,10,0.2321,10
0.3,0.9,0.2545,10,0.2201,10
0.3,1.0,0.2327,10,0.1979,11
0.3,1.1,0.2114,10,0.1823,10
0.3,1.2,0.194,9,0.167,10
0.4,0.0,0.2689,8,0.2276,8
0.4,0.1,0.27,9,0.2312,8
0.4,0.2,0.2704,9,0.2372,8
0.4,0.3,0.2709,9,0.2397,9
0.4,0.4,0.2721,10,0.2411,9
0.4,0.5,0.2726,10,0.2404,9
0.4,0.6,0.2716,11,0.2393,10
0.4,0.7,0.2689,11,0.2369,10
0.4,0.8,0.2651,10,0.2321,10
0.4,0.9,0.2561,10,0.2205,11
0.4,1.0,0.2346,10,0.198,11
0.4,1.1,0.213,10,0.1819,11
0.4,1.2,0.1955,9,0.1665,10
0.5,0.0,0.2675,8,0.2265,8
0.5,0.1,0.2686,9,0.2305,8
0.5,0.2,0.2691,9,0.2363,8
0.5,0.3,0.2697,9,0.2386,9
0.5,0.4,0.2711,11,0.2399,9
0.5,0.5,0.2719,10,0.2389,9
0.5,0.6,0.2712,11,0.2377,10
0.5,0.7,0.2688,11,0.2352,10
0.5,0.8,0.2651,10,0.2307,10
0.5,0.9,0.2566,10,0.2199,11
0.5,1.0,0.2357,10,0.1974,11
0.5,1.1,0.2141,10,0.181,11
0.5,1.2,0.1966,9,0.1656,10
0.6,0.0,0.2649,8,0.224,8
0.6,0.1,0.266,9,0.2283,8
0.6,0.2,0.2667,9,0.234,8
0.6,0.3,0.2672,9,0.236,9
0.6,0.4,0.2687,10,0.2369,9
0.6,0.5,0.2695,10,0.2359,9
0.6,0.6,0.269,11,0.2347,10
0.6,0.7,0.2671,11,0.2325,10
0.6,0.8,0.2639,10,0.2285,10
0.6,0.9,0.2561,10,0.2184,11
0.6,1.0,0.2361,10,0.1963,11
0.6,1.1,0.2146,10,0.1798,11
0.6,1.2,0.1971,9,0.1643,10
0.7,0.0,0.2621,8,0.221,8
0.7,0.1,0.2632,9,0.2252,8
0.7,0.2,0.2638,9,0.2308,8
0.7,0.3,0.2644,9,0.2327,9
0.7,0.4,0.2659,10,0.2334,9
0.7,0.5,0.2665,9,0.2323,9
0.7,0.6,0.2661,11,0.2308,10
0.7,0.7,0.2644,10,0.2289,10
0.7,0.8,0.2616,10,0.2256,10
0.7,0.9,0.2549,10,0.2163,10
0.7,1.0,0.2359,10,0.1946,11
0.7,1.1,0.2146,10,0.178,11
0.7,1.2,0.197,9,0.1626,10
0.8,0.0,0.2584,8,0.2177,8
0.8,0.1,0.2597,10,0.2218,8
0.8,0.2,0.2602,10,0.2271,8
0.8,0.3,0.2606,9,0.2287,8
0.8,0.4,0.2619,10,0.2291,9
0.8,0.5,0.2626,10,0.2279,9
0.8,0.6,0.2621,10,0.2265,10
0.8,0.7,0.2608,10,0.2248,10
0.8,0.8,0.2586,10,0.222,10
0.8,0.9,0.2527,10,0.2136,10
0.8,1.0,0.2349,10,0.1926,11
0.8,1.1,0.2139,10,0.1761,11
0.8,1.2,0.1964,9,0.1608,10
