,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others
Rice,122004,11766,6506,4355,1398,12663,4436,444,1852,2868,2050,877,1218,3377,94318
Cassava,133271,204974,90004,73187,6600,55593,8558,6347,10261,10837,13133,2955,3979,2615,412858
Pineapple,52334,83671,96183,94548,9381,20775,3167,13295,2918,8811,6603,3588,1491,1905,463451
Para rubber,199198,350586,275546,6569614,385392,536849,105451,55192,115331,108867,83620,32315,31372,7606,2220376
Oil palm,7829,9212,4453,33912,24972,48762,17092,1738,5449,39578,8789,13556,9072,320,282380
Durian,13376,9442,9813,13234,1861,117107,18790,720,15308,41918,20918,20598,9829,1641,99608
Rambutan,190,54,75,490,51,1268,455,9,140,438,176,290,107,25,2050
Coconut,919,812,493,331,36,1229,241,85,185,383,301,162,231,44,9593
Mango,3843,2661,1167,3816,423,6031,1836,199,1549,1726,1002,335,641,17,39404
Longan,886,908,632,918,235,3861,1310,47,557,4277,723,385,346,60,4734
Jackfruit,1659,1096,1383,2141,93,13462,1755,91,1570,4325,2891,1594,909,89,8180
Mangosteen,422,212,304,493,34,4119,767,17,295,1738,606,1920,562,33,7803
Langsat,24,56,36,193,54,647,221,2,8,121,7,41,7,2,424
Reservoir,16083,5581,5392,3256,504,4476,1098,205,1237,1554,855,576,367,614902,250861
Others,237648,215428,125714,335450,56247,346322,88408,15235,42977,131769,49478,66319,31741,181072,6296822
