,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others
Rice,0.4516,0.0436,0.0241,0.0161,0.0052,0.0469,0.0164,0.0016,0.0069,0.0106,0.0076,0.0032,0.0045,0.0125,0.3492
Cassava,0.1287,0.198,0.0869,0.0707,0.0064,0.0537,0.0083,0.0061,0.0099,0.0105,0.0127,0.0029,0.0038,0.0025,0.3988
Pineapple,0.0607,0.0971,0.1116,0.1097,0.0109,0.0241,0.0037,0.0154,0.0034,0.0102,0.0077,0.0042,0.0017,0.0022,0.5376
Para rubber,0.018,0.0316,0.0249,0.5931,0.0348,0.0485,0.0095,0.005,0.0104,0.0098,0.0075,0.0029,0.0028,0.0007,0.2004
Oil palm,0.0154,0.0182,0.0088,0.0669,0.0492,0.0962,0.0337,0.0034,0.0107,0.078,0.0173,0.0267,0.0179,0.0006,0.5568
Durian,0.0339,0.024,0.0249,0.0336,0.0047,0.2971,0.0477,0.0018,0.0388,0.1063,0.0531,0.0523,0.0249,0.0042,0.2527
Rambutan,0.0327,0.0093,0.0129,0.0842,0.0088,0.2179,0.0782,0.0015,0.0241,0.0753,0.0303,0.0498,0.0184,0.0043,0.3524
Coconut,0.0611,0.054,0.0328,0.022,0.0024,0.0817,0.016,0.0056,0.0123,0.0255,0.02,0.0108,0.0154,0.0029,0.6376
Mango,0.0594,0.0412,0.0181,0.059,0.0065,0.0933,0.0284,0.0031,0.024,0.0267,0.0155,0.0052,0.0099,0.0003,0.6095
Longan,0.0446,0.0457,0.0318,0.0462,0.0118,0.1942,0.0659,0.0024,0.028,0.2152,0.0364,0.0194,0.0174,0.003,0.2381
Jackfruit,0.0402,0.0266,0.0335,0.0519,0.0023,0.3264,0.0426,0.0022,0.0381,0.1049,0.0701,0.0387,0.022,0.0022,0.1984
Mangosteen,0.0218,0.011,0.0157,0.0255,0.0018,0.2131,0.0397,0.0009,0.0153,0.0899,0.0314,0.0994,0.0291,0.0017,0.4038
Langsat,0.013,0.0304,0.0195,0.1047,0.0293,0.3511,0.1199,0.0011,0.0043,0.0657,0.0038,0.0222,0.0038,0.0011,0.2301
Reservoir,0.0177,0.0062,0.0059,0.0036,0.0006,0.0049,0.0012,0.0002,0.0014,0.0017,0.0009,0.0006,0.0004,0.678,0.2766
Others,0.0289,0.0262,0.0153,0.0408,0.0068,0.0421,0.0108,0.0019,0.0052,0.016,0.006,0.0081,0.0039,0.022,0.766
