,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others,Forest
Rice,122004,11766,6506,4355,1398,12663,4436,444,1852,2868,2050,877,1218,3377,90337,3981
Cassava,133271,204974,90004,73187,6600,55593,8558,6347,10261,10837,13133,2955,3979,2615,397202,15656
Pineapple,52334,83671,96183,94548,9381,20775,3167,13295,2918,8811,6603,3588,1491,1905,423164,40287
Para rubber,199198,350586,275546,6569614,385392,536849,105451,55192,115331,108867,83620,32315,31372,7606,1434807,785569
Oil palm,7829,9212,4453,33912,24972,48762,17092,1738,5449,39578,8789,13556,9072,320,100987,181393
Durian,13376,9442,9813,13234,1861,117107,18790,720,15308,41918,20918,20598,9829,1641,76510,23098
Rambutan,190,54,75,490,51,1268,455,9,140,438,176,290,107,25,943,1107
Coconut,919,812,493,331,36,1229,241,85,185,383,301,162,231,44,7899,1694
Mango,3843,2661,1167,3816,423,6031,1836,199,1549,1726,1002,335,641,17,33603,5801
Longan,886,908,632,918,235,3861,1310,47,557,4277,723,385,346,60,3225,1509
Jackfruit,1659,1096,1383,2141,93,13462,1755,91,1570,4325,2891,1594,909,89,6836,1344
Mangosteen,422,212,304,493,34,4119,767,17,295,1738,606,1920,562,33,4947,2856
Langsat,24,56,36,193,54,647,221,2,8,121,7,41,7,2,311,113
Reservoir,16083,5581,5392,3256,504,4476,1098,205,1237,1554,855,576,367,614902,212724,38137
Others,231845,211430,123903,169951,25009,280613,68549,10940,40865,79291,46740,36622,25128,177318,3811906,345414
Forest,5803,3998,1811,165499,31238,65709,19859,4295,2112,52478,2738,29697,6613,3754,162054,1977448
