population,class,precision,recall,f1,support
labelled in both,Rice,0.2247,0.4229,0.2935,189233
labelled in both,Cassava,0.3146,0.4377,0.3661,819443
labelled in both,Pineapple,0.3279,0.4312,0.3725,620706
labelled in both,Para rubber,0.9439,0.5426,0.689,8680932
labelled in both,Oil palm,0.2059,0.1505,0.1739,484522
labelled in both,Durian,0.2041,0.4848,0.2872,711930
labelled in both,Rambutan,0.0016,0.0612,0.0032,6078
labelled in both,Coconut,0.001,0.0019,0.0013,22435
labelled in both,Mango,0.0189,0.0891,0.0312,43390
labelled in both,Longan,0.0063,0.1383,0.0121,13661
labelled in both,Jackfruit,0.0089,0.0644,0.0156,27767
labelled in both,Mangosteen,0.0129,0.1391,0.0236,19332
labelled in both,Langsat,0.0004,0.0497,0.0009,1792
labelled in both,Reservoir,0.7415,0.8291,0.7829,925769
labelled in both,Others,0.6902,0.7556,0.7214,8413843
unchanged since 2018,Rice,0.2666,0.4257,0.3278,182474
unchanged since 2018,Cassava,0.2763,0.5196,0.3608,462103
unchanged since 2018,Pineapple,0.3211,0.4638,0.3795,452306
unchanged since 2018,Para rubber,0.9652,0.543,0.695,8594812
unchanged since 2018,Oil palm,0.1801,0.1497,0.1635,387205
unchanged since 2018,Durian,0.1145,0.4457,0.1822,328873
unchanged since 2018,Rambutan,0.0019,0.063,0.0036,5779
unchanged since 2018,Coconut,0.0008,0.0037,0.0014,9307
unchanged since 2018,Mango,0.0217,0.0912,0.0351,41024
unchanged since 2018,Longan,0.0076,0.1409,0.0143,13381
unchanged since 2018,Jackfruit,0.0106,0.0691,0.0183,23653
unchanged since 2018,Mangosteen,0.0138,0.1435,0.0252,17374
unchanged since 2018,Langsat,0.0005,0.0545,0.0011,1633
unchanged since 2018,Reservoir,0.7586,0.8355,0.7952,902626
unchanged since 2018,Others,0.6879,0.7807,0.7314,7555315
changed since 2018,Rice,0.0364,0.3489,0.0659,6759
changed since 2018,Cassava,0.4376,0.3317,0.3774,357340
changed since 2018,Pineapple,0.355,0.3437,0.3493,168400
changed since 2018,Para rubber,0.2786,0.5012,0.3581,86120
changed since 2018,Oil palm,0.4653,0.1536,0.231,97317
changed since 2018,Durian,0.4825,0.5183,0.4998,383057
changed since 2018,Rambutan,0.0002,0.0268,0.0005,299
changed since 2018,Coconut,0.0025,0.0007,0.0011,13128
changed since 2018,Mango,0.0039,0.0528,0.0073,2366
changed since 2018,Longan,0.0001,0.0143,0.0002,280
changed since 2018,Jackfruit,0.0033,0.0372,0.0061,4114
changed since 2018,Mangosteen,0.007,0.1006,0.013,1958
changed since 2018,Langsat,0.0,0.0,0.0,159
changed since 2018,Reservoir,0.3276,0.5802,0.4187,23143
changed since 2018,Others,0.7205,0.5349,0.614,858528
