,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others,Forest
Rice,0.2204,0.0047,0.0046,0.0003,0.0016,0.008,0.0198,0.0057,0.0161,0.0047,0.0047,0.0105,0.0078,0.0031,0.0137,0.0006
Cassava,0.082,0.3239,0.1208,0.0094,0.0202,0.0522,0.0446,0.0441,0.0705,0.0333,0.0667,0.0242,0.0312,0.0022,0.0249,0.0051
Pineapple,0.0313,0.1215,0.3268,0.0081,0.0118,0.0237,0.0154,0.0444,0.0387,0.0207,0.031,0.0139,0.0145,0.0009,0.0152,0.0033
Para rubber,0.1683,0.2401,0.2629,0.9427,0.5664,0.355,0.385,0.6367,0.2254,0.2274,0.2766,0.2356,0.2597,0.0098,0.0858,0.3737
Oil palm,0.0149,0.008,0.009,0.0031,0.2153,0.0479,0.064,0.0393,0.0318,0.1675,0.0665,0.0954,0.1365,0.0011,0.0058,0.0295
Durian,0.0378,0.025,0.0235,0.0051,0.0148,0.2347,0.1452,0.0095,0.0518,0.195,0.209,0.1906,0.194,0.0055,0.0188,0.0054
Rambutan,0.0001,0.0001,0.0001,0.0,0.0001,0.0011,0.0015,0.0,0.0008,0.0019,0.0011,0.0019,0.0016,0.0,0.0001,0.0002
Coconut,0.0037,0.0021,0.0014,0.0001,0.0003,0.0026,0.0028,0.0011,0.0066,0.0058,0.0042,0.004,0.0032,0.0001,0.0013,0.0003
Mango,0.0024,0.0031,0.0019,0.0006,0.0015,0.003,0.0033,0.0085,0.0183,0.0116,0.0071,0.0043,0.0042,0.0001,0.0022,0.0013
Longan,0.0003,0.0003,0.0002,0.0001,0.0002,0.002,0.0023,0.0001,0.0008,0.0059,0.0043,0.0034,0.0057,0.0,0.0002,0.0005
Jackfruit,0.0016,0.0007,0.0009,0.0002,0.0008,0.0074,0.0042,0.0003,0.0029,0.0052,0.0083,0.007,0.0053,0.0001,0.0005,0.0002
Mangosteen,0.0008,0.0002,0.0004,0.0001,0.0002,0.0033,0.0025,0.0003,0.001,0.0036,0.0028,0.013,0.0047,0.0002,0.0006,0.0006
Langsat,0.0,0.0001,0.0001,0.0001,0.0,0.0002,0.0004,0.0,0.0001,0.0001,0.0001,0.0001,0.0004,0.0,0.0001,0.0001
Reservoir,0.0326,0.0033,0.005,0.0005,0.0034,0.0037,0.0075,0.006,0.0066,0.0034,0.0029,0.0061,0.0059,0.7401,0.0201,0.0063
Others,0.3861,0.264,0.2398,0.0226,0.0932,0.2418,0.2716,0.1594,0.5167,0.2684,0.2955,0.3187,0.2919,0.2282,0.7947,0.0968
Forest,0.0175,0.0028,0.0026,0.0071,0.0702,0.0134,0.03,0.0447,0.012,0.0455,0.019,0.0712,0.0333,0.0087,0.016,0.476
