population,class,precision,recall,f1,support
all,Rice,0.2204,0.4225,0.2897,190118
all,Cassava,0.3239,0.4409,0.3735,869563
all,Pineapple,0.3268,0.4318,0.3721,639579
all,Para rubber,0.9427,0.5431,0.6892,8806770
all,Oil palm,0.2153,0.1523,0.1784,515130
all,Durian,0.2347,0.485,0.3163,872812
all,Rambutan,0.0015,0.0604,0.003,6163
all,Coconut,0.0011,0.002,0.0014,23972
all,Mango,0.0183,0.089,0.0303,43452
all,Longan,0.0059,0.1383,0.0113,13661
all,Jackfruit,0.0083,0.0639,0.0148,28168
all,Mangosteen,0.013,0.1446,0.0239,19893
all,Langsat,0.0004,0.0497,0.0008,1792
all,Reservoir,0.7401,0.8276,0.7814,930414
all,Others,0.6886,0.7544,0.72,8560482
unseen_2018,Rice,0.1354,0.3956,0.2018,91366
unseen_2018,Cassava,0.2814,0.4172,0.3361,629722
unseen_2018,Pineapple,0.2741,0.416,0.3305,437535
unseen_2018,Para rubber,0.9518,0.5418,0.6905,8396347
unseen_2018,Oil palm,0.1585,0.1471,0.1526,330748
unseen_2018,Durian,0.1642,0.494,0.2465,467347
unseen_2018,Rambutan,0.0004,0.0447,0.0009,1881
unseen_2018,Coconut,0.0007,0.0017,0.0009,15598
unseen_2018,Mango,0.0098,0.0909,0.0178,18649
unseen_2018,Longan,0.0017,0.1208,0.0033,3211
unseen_2018,Jackfruit,0.0026,0.0561,0.0049,7559
unseen_2018,Mangosteen,0.0059,0.1405,0.0114,6832
unseen_2018,Langsat,0.0,0.0129,0.0001,544
unseen_2018,Reservoir,0.6509,0.8478,0.7364,497406
unseen_2018,Others,0.681,0.7555,0.7163,7182971
