scope,pixels,unchanged,changed_share
all labelled in both surveys,20980833,18977865,0.0955
true Rice in 2018,222023,182474,0.1781
true Cassava in 2018,709630,462103,0.3488
true Pineapple in 2018,619178,452306,0.2695
true Para rubber in 2018,9552674,8594812,0.1003
true Oil palm in 2018,448351,387205,0.1364
true Durian in 2018,340900,328873,0.0353
true Rambutan in 2018,6183,5779,0.0653
true Coconut in 2018,11651,9307,0.2012
true Mango in 2018,56120,41024,0.269
true Longan in 2018,18436,13381,0.2742
true Jackfruit in 2018,36916,23653,0.3593
true Mangosteen in 2018,18148,17374,0.0426
true Langsat in 2018,1843,1633,0.1139
