lu_code,all_rows,clean_rows,train_rows,val_rows,test_rows
1101,187474,0,125753,25719,36002
1200,7676,1,952,5456,1268
1201,1074665,13791,668045,219274,187346
1301,447228,88,350558,40443,56227
1401,75027,0,139,0,74888
1404,385,0,197,0,188
1405,3652,0,30,3622,0
1500,2657,0,2061,302,294
1501,840502,2,560513,159347,120642
1502,499099,554,294127,100768,104204
1503,1829,11,1312,258,259
1600,3606,0,3506,0,100
1601,27452,19,22910,2935,1607
1602,44690,74,29250,5701,9739
1603,4784,8,1403,981,2400
1605,1995,55,1211,391,393
1701,111249,0,69744,766,40739
2001,243,0,242,1,0
2100,104369,78,60564,27100,16705
2101,296743,11,180255,66650,49838
2200,7289,9,5076,804,1409
2202,7,7,7,0,0
2203,61806,6,42514,6215,13077
2204,807250,259,472882,155904,178464
2205,714833,38,417308,157546,139979
2220,190,190,190,0,0
2300,10784,24,6040,4087,657
2301,49815,95,31114,11366,7335
2302,12320950,23877,7248263,1836800,3235887
2303,490953,84,249039,152561,89353
2304,134445,200,75252,36039,23154
2305,5805,1,3466,945,1394
2306,175,175,173,0,2
2307,11042,1,9468,1415,159
2308,3145,0,1040,271,1834
2309,2673,0,210,2445,18
2315,142,142,88,54,0
2317,2769,82,1327,657,785
2318,136,136,44,0,92
2322,1500,0,807,592,101
2323,32,32,19,13,0
2400,5968,3,2640,1946,1382
2401,411985,1103,211743,95896,104346
2403,353768,44,181226,99490,73052
2404,6385,13,3770,990,1625
2405,13945,11,8344,2654,2947
2406,22,22,22,0,0
2407,68673,8,43199,12128,13346
2408,13405,21,8198,3542,1665
2409,216,5,20,196,0
2410,23,23,4,0,19
2411,4709,20,3025,312,1372
2412,416,1,121,141,154
2413,19692,0,14483,3500,1709
2414,38,38,38,0,0
2415,1,1,1,0,0
2416,42873,3,27008,5811,10054
2419,19315,22,12272,2921,4122
2420,1843,5,1639,13,191
2421,1499,0,1006,189,304
2422,21,21,21,0,0
2427,89,89,89,0,0
2428,21,21,21,0,0
2429,837,7,139,182,516
2502,2080,10,1375,420,285
2503,344,0,222,8,114
2505,95,95,58,8,29
2510,110,110,110,0,0
2512,36,36,36,0,0
2515,126,126,32,0,94
2701,6659,0,6427,38,194
2702,1617,5,1601,11,5
2703,11020,15,4879,1809,4332
2704,6813,6,5540,143,1130
2803,4143,0,4109,5,29
2900,32413,148,18234,4744,9435
2901,2006,2,1127,100,779
2902,37988,64,26537,3569,7882
2903,391436,5,261886,109079,20471
3100,28722,0,17304,6252,5166
3101,1169472,18,642109,41142,486221
3200,143799,0,95154,30974,17671
3201,1045064,0,724866,254751,65447
3300,298,0,298,0,0
3301,129825,2,77782,40583,11460
3401,5214,0,3899,610,705
3501,14570,0,11229,1289,2052
4101,57026,3,43031,3610,10385
4102,9684,0,4744,1775,3165
4103,2908,0,2030,248,630
4201,778421,0,762008,3717,12696
4202,54749,39,32305,10789,11655
4203,69,69,41,3,25
5101,371572,756,206703,71419,93450
5102,250763,786,134767,65856,50140
5201,225505,268,144896,43346,37263
5300,25758,31,20295,3539,1924
5301,16555,0,15457,727,371
5302,43293,42,27202,5327,10764
5303,37944,0,33511,2284,2149
5304,24552,7,14736,2182,7634
5401,116,116,116,0,0
5405,61990,165,38450,12452,11088
5601,106,106,17,3,86
5701,2098,0,1043,1055,0
